M,rho,delta,delta_star,pair_trigger_probability,system_trigger_probability,early_cert_probability,mean_pair_normalized_time_conditional,mean_system_normalized_time_conditional,false_cert_probability,Nmc,K
1,0.5,0.05,0.025,0,0,0,NaN,NaN,0,5000,80
1,0.6,0.05,0.03,0,0,0,NaN,NaN,0,5000,80
1,0.7,0.05,0.035,0,0,0,NaN,NaN,0,5000,80
1,0.8,0.05,0.04,0,0,0,NaN,NaN,0,5000,80
1,0.9,0.05,0.045,0,0,0,NaN,NaN,0,5000,80
1,1,0.05,0.05,0,0,0,NaN,NaN,0,5000,80
1,1.1,0.05,0.055,0.0514,0.0514,0.0426,0.911235408560311,0.911235408560311,0,5000,80
1,1.2,0.05,0.06,0.2088,0.2088,0.1718,0.937200670498085,0.937200670498085,0,5000,80
1,1.3,0.05,0.065,0.383,0.383,0.3202,0.936697127937338,0.936697127937338,0,5000,80
1,1.4,0.05,0.07,0.5678,0.5678,0.4882,0.94069654808031,0.94069654808031,0,5000,80
1,1.5,0.05,0.075,0.7136,0.7136,0.623,0.938747197309417,0.938747197309417,0,5000,80
1,1.6,0.05,0.08,0.8308,0.8308,0.7424,0.937217140105921,0.937217140105921,0,5000,80
1,1.7,0.05,0.085,0.9146,0.9146,0.8248,0.932533347911654,0.932533347911654,0,5000,80
1,1.8,0.05,0.09,0.962,0.962,0.8978,0.931546257796256,0.931546257796256,0,5000,80
1,1.9,0.05,0.095,0.9908,0.9908,0.9432,0.918896346386757,0.918896346386757,0,5000,80
1,2,0.05,0.1,1,1,0.9718,0.915224999999999,0.915224999999999,0,5000,80
1,2.1,0.05,0.105,1,1,0.983,0.90747,0.90747,0,5000,80
1,2.2,0.05,0.11,1,1,0.993,0.898192499999999,0.898192499999999,0,5000,80
1,2.3,0.05,0.115,1,1,0.9982,0.893460000000001,0.893460000000001,0,5000,80
1,2.4,0.05,0.12,1,1,0.9998,0.8866425,0.8866425,0,5000,80
1,2.5,0.05,0.125,1,1,1,0.881255,0.881255,0,5000,80
1,2.6,0.05,0.13,1,1,1,0.872997500000001,0.872997500000001,0,5000,80
1,2.7,0.05,0.135,1,1,1,0.866800000000001,0.866800000000001,0,5000,80
1,2.8,0.05,0.14,1,1,1,0.860555000000001,0.860555000000001,0,5000,80
1,2.9,0.05,0.145,1,1,1,0.8521325,0.8521325,0,5000,80
1,3,0.05,0.15,1,1,1,0.84732,0.84732,0,5000,80
2,0.5,0.05,0.025,0,0,0,NaN,NaN,0,5000,80
2,0.6,0.05,0.03,0,0,0,NaN,NaN,0,5000,80
2,0.7,0.05,0.035,0,0,0,NaN,NaN,0,5000,80
2,0.8,0.05,0.04,0,0,0,NaN,NaN,0,5000,80
2,0.9,0.05,0.045,0,0,0,NaN,NaN,0,5000,80
2,1,0.05,0.05,0,0,0,NaN,NaN,0,5000,80
2,1.1,0.05,0.055,0.0607,0.003,0.051,0.926832784184514,0.979166666666667,0,5000,80
2,1.2,0.05,0.06,0.2029,0.0374,0.1693,0.92671882700838,0.972125668449198,0,5000,80
2,1.3,0.05,0.065,0.3871,0.1476,0.3309,0.93619865667786,0.975355691056911,0,5000,80
2,1.4,0.05,0.07,0.565,0.3208,0.4825,0.939586283185837,0.977470386533668,0,5000,80
2,1.5,0.05,0.075,0.727,0.5294,0.6378,0.940213204951851,0.975953910086892,0,5000,80
2,1.6,0.05,0.08,0.8378,0.703,0.7478,0.93638398185724,0.973723328591748,0,5000,80
2,1.7,0.05,0.085,0.9198,0.845,0.8361,0.933935366383993,0.97184319526627,0,5000,80
2,1.8,0.05,0.09,0.9629,0.9272,0.8987,0.92978112992003,0.967620254529764,0,5000,80
2,1.9,0.05,0.095,0.9899,0.9798,0.9422,0.921557733104353,0.963734945907325,0,5000,80
2,2,0.05,0.1,1,1,0.9681,0.916881249999999,0.960184999999998,0,5000,80
2,2.1,0.05,0.105,1,1,0.9834,0.907947499999999,0.95502,0,5000,80
2,2.2,0.05,0.11,1,1,0.9924,0.902953750000001,0.95082,0,5000,80
2,2.3,0.05,0.115,1,1,0.9969,0.894242500000001,0.945867500000001,0,5000,80
2,2.4,0.05,0.12,1,1,0.9993,0.885392500000002,0.939832500000002,0,5000,80
2,2.5,0.05,0.125,1,1,0.9999,0.880105000000002,0.936480000000003,0,5000,80
2,2.6,0.05,0.13,1,1,1,0.873568750000003,0.931087500000002,0,5000,80
2,2.7,0.05,0.135,1,1,1,0.865812500000002,0.926085000000002,0,5000,80
2,2.8,0.05,0.14,1,1,1,0.859988750000002,0.922537500000002,0,5000,80
2,2.9,0.05,0.145,1,1,1,0.850301250000001,0.917410000000002,0,5000,80
2,3,0.05,0.15,1,1,1,0.849192500000001,0.912565,0,5000,80
5,0.5,0.05,0.025,0,0,0,NaN,NaN,0,5000,80
5,0.6,0.05,0.03,0,0,0,NaN,NaN,0,5000,80
5,0.7,0.05,0.035,0,0,0,NaN,NaN,0,5000,80
5,0.8,0.05,0.04,0,0,0,NaN,NaN,0,5000,80
5,0.9,0.05,0.045,0,0,0,NaN,NaN,0,5000,80
5,1,0.05,0.05,0,0,0,NaN,NaN,0,5000,80
5,1.1,0.05,0.055,0.0622,0,0.05208,0.924774919614149,NaN,0,5000,80
5,1.2,0.05,0.06,0.205,0,0.17112,0.932475609756096,NaN,0,5000,80
5,1.3,0.05,0.065,0.38432,0.0096,0.32384,0.936772741465442,0.990625,0,5000,80
5,1.4,0.05,0.07,0.56972,0.057,0.48744,0.939551007512465,0.991842105263158,0,5000,80
5,1.5,0.05,0.075,0.723,0.1946,0.6286,0.938738589211625,0.99141829393628,0,5000,80
5,1.6,0.05,0.08,0.8398,0.4122,0.74604,0.936561681352715,0.989792576419218,0,5000,80
5,1.7,0.05,0.085,0.91604,0.6448,0.83544,0.933953211650158,0.987941997518608,0,5000,80
5,1.8,0.05,0.09,0.96532,0.8362,0.9022,0.927121058301919,0.985508849557517,0,5000,80
5,1.9,0.05,0.095,0.98804,0.9422,0.93904,0.919722379660747,0.98287253237104,0,5000,80
5,2,0.05,0.1,1,1,0.96924,0.914534,0.979332499999993,0,5000,80
5,2.1,0.05,0.105,1,1,0.98252,0.907420999999999,0.975782499999995,0,5000,80
5,2.2,0.05,0.11,1,1,0.99328,0.900159999999996,0.971454999999997,0,5000,80
5,2.3,0.05,0.115,1,1,0.99792,0.895222999999995,0.968119999999999,0,5000,80
5,2.4,0.05,0.12,1,1,0.99964,0.887176499999996,0.964032500000001,0,5000,80
5,2.5,0.05,0.125,1,1,0.99996,0.878851499999994,0.960380000000002,0,5000,80
5,2.6,0.05,0.13,1,1,1,0.873170999999994,0.956550000000003,0,5000,80
5,2.7,0.05,0.135,1,1,1,0.866452999999995,0.953497500000004,0,5000,80
5,2.8,0.05,0.14,1,1,1,0.860505999999995,0.949937500000004,0,5000,80
5,2.9,0.05,0.145,1,1,1,0.851695499999997,0.946022500000004,0,5000,80
5,3,0.05,0.15,1,1,1,0.845032999999998,0.942630000000004,0,5000,80
10,0.5,0.05,0.025,0,0,0,NaN,NaN,0,5000,80
10,0.6,0.05,0.03,0,0,0,NaN,NaN,0,5000,80
10,0.7,0.05,0.035,0,0,0,NaN,NaN,0,5000,80
10,0.8,0.05,0.04,0,0,0,NaN,NaN,0,5000,80
10,0.9,0.05,0.045,0,0,0,NaN,NaN,0,5000,80
10,1,0.05,0.05,0,0,0,NaN,NaN,0,5000,80
10,1.1,0.05,0.055,0.05806,0,0.04886,0.923566138477437,NaN,0,5000,80
10,1.2,0.05,0.06,0.20624,0,0.17362,0.932454906904575,NaN,0,5000,80
10,1.3,0.05,0.065,0.38986,0,0.33048,0.93828233211923,NaN,0,5000,80
10,1.4,0.05,0.07,0.57016,0.0028,0.48784,0.94032289181986,0.999107142857143,0,5000,80
